rep,lambda,e_sampled,e_exact,e_ideal,n_shots,noise_type
0,1.0,0.73681640625,0.7279831836695103,0.7786669865047746,4096,depolarizing
0,3.0,0.6298828125,0.6362979405699533,0.7786669865047746,4096,depolarizing
0,5.0,0.57861328125,0.556159919976075,0.7786669865047746,4096,depolarizing
1,1.0,0.73388671875,0.7279831836695103,0.7786669865047746,4096,depolarizing
1,3.0,0.646484375,0.6362979405699533,0.7786669865047746,4096,depolarizing
1,5.0,0.55419921875,0.556159919976075,0.7786669865047746,4096,depolarizing
2,1.0,0.71923828125,0.7279831836695103,0.7786669865047746,4096,depolarizing
2,3.0,0.61865234375,0.6362979405699533,0.7786669865047746,4096,depolarizing
2,5.0,0.5693359375,0.556159919976075,0.7786669865047746,4096,depolarizing
3,1.0,0.71435546875,0.7279831836695103,0.7786669865047746,4096,depolarizing
3,3.0,0.64794921875,0.6362979405699533,0.7786669865047746,4096,depolarizing
3,5.0,0.55419921875,0.556159919976075,0.7786669865047746,4096,depolarizing
4,1.0,0.7177734375,0.7279831836695103,0.7786669865047746,4096,depolarizing
4,3.0,0.6435546875,0.6362979405699533,0.7786669865047746,4096,depolarizing
4,5.0,0.5654296875,0.556159919976075,0.7786669865047746,4096,depolarizing
5,1.0,0.732421875,0.7279831836695103,0.7786669865047746,4096,depolarizing
5,3.0,0.61962890625,0.6362979405699533,0.7786669865047746,4096,depolarizing
5,5.0,0.54931640625,0.556159919976075,0.7786669865047746,4096,depolarizing
6,1.0,0.7099609375,0.7279831836695103,0.7786669865047746,4096,depolarizing
6,3.0,0.62939453125,0.6362979405699533,0.7786669865047746,4096,depolarizing
6,5.0,0.5673828125,0.556159919976075,0.7786669865047746,4096,depolarizing
7,1.0,0.72607421875,0.7279831836695103,0.7786669865047746,4096,depolarizing
7,3.0,0.63427734375,0.6362979405699533,0.7786669865047746,4096,depolarizing
7,5.0,0.5439453125,0.556159919976075,0.7786669865047746,4096,depolarizing
8,1.0,0.72705078125,0.7279831836695103,0.7786669865047746,4096,depolarizing
